Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Aytaç (M)	18	9	10	4	50
Ayub (M)	2	3	10	18	39
Ayuub (M)	0	1	20	19	43
Ayyoub (M)	18	26	23	18	98
Azad (M)	6	4	8	24	54
Azeddine (M)	16	22	20	12	81
Aziz (M)	171	104	52	46	457
Azzeddine (M)	36	32	21	29	136
Aäron (M)	56	73	100	54	311
Aïmane (M)	2	28	75	116	254
Babak (M)	18	6	2	2	35
Bachir (M)	6	11	7	2	32
Bader (M)	3	6	8	8	28
Badr (M)	38	63	46	84	285
Badreddine (M)	16	41	47	65	200
Baer (M)	5	1	3	10	28
Bahadir (M)	16	15	9	6	50
Bahattin (M)	10	9	3	1	34
Bahri (M)	7	12	9	6	41
Bailey (M)	0	0	15	25	49
Baki (M)	7	9	8	8	38
Balder (M)	3	7	6	17	37
Baran (M)	5	25	36	112	266
Bareld (M)	10	11	10	8	43
Barend (M)	200	204	156	127	812
Baris (M)	33	34	20	11	121
Bariş (M)	66	100	58	47	301
Barrie (M)	11	19	14	7	58
Barry (M)	557	338	188	92	1454
Bart (M)	3970	4011	3478	2568	16226
Bart-Jan (M)	47	37	41	23	178
Bartel (M)	19	23	19	15	96
Barteld (M)	29	22	21	17	107
Bartele (M)	16	14	3	5	46
Barthelomeus (M)	15	11	8	0	37
Barthold (M)	13	4	6	2	29
Bartholomeus (M)	386	240	200	82	1135
Bartholomeüs (M)	12	15	16	4	51
Bartjan (M)	11	14	7	3	45
Bartje (M)	19	2	5	3	45
Bartosz (M)	7	10	4	2	30
Bartus (M)	25	14	11	9	73
Baruch (M)	16	8	9	11	54
Barış (M)	10	15	26	35	95
Bas (M)	2136	3256	3288	2795	13136
Bashir (M)	13	9	10	7	44
Basil (M)	6	10	12	7	42
Basten (M)	7	2	10	36	67
Bastiaan (M)	1435	1280	952	679	5177
Bastian (M)	50	65	62	60	291
Bastien (M)	6	11	8	7	39
Bastijn (M)	8	8	12	12	47
Battal (M)	7	6	7	4	28
Batuhan (M)	5	8	118	206	399
Bauke (M)	125	145	158	148	697
Bayram (M)	62	50	32	22	191
Beau (M)	42	126	229	465	1035
Bedirhan (M)	3	7	13	50	94
Beer (M)	7	8	35	53	138
Beerd (M)	7	8	4	7	29
Beert (M)	15	14	12	7	60
Bekir (M)	52	68	51	44	246
Belal (M)	4	7	16	2	34
Ben (M)	401	408	303	258	1632
Benedict (M)	11	12	8	11	51
Benedictus (M)	12	8	8	4	41
Bengt (M)	6	15	12	15	63
Benito (M)	26	16	24	26	113
Benjamin (M)	1203	960	864	992	4831
Benji (M)	23	34	15	11	88
Benne (M)	5	3	6	10	31
Bennet (M)	6	10	12	7	37
Bennie (M)	127	88	46	32	373
Benno (M)	52	51	33	24	188
Benny (M)	225	109	42	27	514
Benoit (M)	4	9	4	1	27
Benoît (M)	7	6	9	5	31
Bent (M)	5	12	26	65	136
Bente (M)	5	2	11	12	36
Bento (M)	1	1	3	20	30
Berat (M)	13	23	52	106	268
Berdan (M)	0	1	2	32	42
Berend (M)	560	588	603	560	2733
Berend-Jan (M)	9	11	12	8	54
Berjan (M)	5	5	7	10	33
Berk (M)	3	4	31	31	82
Berkan (M)	6	29	44	109	209
Berkant (M)	9	7	11	43	81
Berkay (M)	0	20	92	185	372
Berke (M)	0	5	25	59	116
Bernard (M)	295	272	159	84	1001
Bernardo (M)	19	22	10	11	81
Bernardus (M)	513	314	203	113	1419
Bernd (M)	84	69	46	43	280
Bernhard (M)	88	59	42	26	277
Bernie (M)	11	13	7	2	40
Berrie (M)	25	15	12	4	61
Berry (M)	350	273	110	29	890
Bert (M)	265	181	120	70	794
Bert-Jan (M)	25	24	15	8	82
Bertil (M)	9	3	5	7	31
Bertjan (M)	15	6	2	4	29
Bertram (M)	20	8	19	7	63
Bertus (M)	144	97	83	67	476
Bessel (M)	5	4	11	7	34
Beytullah (M)	8	24	16	11	68
Biko (M)	6	5	10	27	54
Bilaal (M)	1	1	13	14	31
Bilal (M)	330	506	522	546	2193
Bilel (M)	5	10	6	5	29
Bill (M)	13	20	12	9	59
Billal (M)	4	8	10	13	39
Billie (M)	3	7	6	5	31
Billy (M)	47	47	49	24	200
Binc (M)	0	0	0	16	29
Binck (M)	0	0	0	53	98
Bing (M)	8	11	7	14	62
Bink (M)	0	4	8	88	160
Binne (M)	2	13	3	5	29
Birkan (M)	6	9	7	6	32
Birol (M)	15	10	2	2	35
Bjarn (M)	0	5	9	16	36
Bjarne (M)	7	17	112	153	345
Bjorn (M)	656	743	744	796	3423
Björn (M)	610	566	476	547	2639
Bjørn (M)	15	14	22	32	115
Bo (M)	98	139	256	359	1032
Boas (M)	16	9	22	45	107
Boaz (M)	43	89	178	366	993
Bob (M)	1013	1402	1087	563	4505
Boban (M)	6	9	6	1	28
Bobbie (M)	44	32	38	24	164
Bobby (M)	227	246	153	75	826
Bodhi (M)	0	14	103	145	325
Bodi (M)	0	1	19	25	69
Bodie (M)	2	2	13	9	30
Boele (M)	6	3	8	20	52
Boet (M)	11	12	26	80	189
Bogdan (M)	8	6	8	6	33
Boi (M)	9	5	6	7	31
Bojan (M)	42	15	11	15	93
Bonne (M)	26	23	31	35	129
Bonno (M)	13	31	28	19	95
Bono (M)	12	36	34	41	139
Bor (M)	4	6	14	40	91
Bora (M)	17	24	23	41	120
Boran (M)	1	4	7	28	49
Boris (M)	218	353	504	705	2101
Borre (M)	9	2	16	26	72
Bosse (M)	4	3	9	11	33
Bote (M)	18	12	8	6	52
Boubker (M)	15	5	10	5	43
Boudewijn (M)	238	200	209	150	940
Bouke (M)	161	128	133	110	604
Bouwe (M)	36	28	42	29	153
Bowe (M)	1	7	6	9	29
Bowen (M)	3	5	14	43	84
Bowie (M)	17	32	27	45	129
Bowy (M)	2	15	8	13	39
Boy (M)	425	424	310	194	1552
Boyan (M)	3	53	16	6	80
Boyd (M)	81	152	238	169	695
Boye (M)	14	8	3	4	38
Boyke (M)	10	14	12	4	45
Brad (M)	1	3	30	36	86
Bradley (M)	23	106	275	357	890
Bradly (M)	1	4	10	16	33
Brady (M)	7	9	17	14	54
Brahim (M)	268	203	107	77	789
Brain (M)	19	47	15	11	104
Bram (M)	1697	2389	3336	3802	13072
Branco (M)	18	44	80	56	215
Brand (M)	17	11	11	14	60
Brando (M)	2	2	16	8	30
Brandon (M)	52	387	532	465	1598
Branko (M)	33	35	25	23	140
Brayen (M)	8	6	7	7	32
Brayn (M)	6	10	15	13	44
Brecht (M)	2	11	30	26	79
Brend (M)	7	22	39	44	124
Brendan (M)	59	105	111	86	404
Brendon (M)	6	26	9	12	62
Brennan (M)	1	8	5	12	30
Brent (M)	47	103	304	470	1145
Brett (M)	16	29	51	113	239
Breunis (M)	6	9	8	5	33
Brian (M)	909	1728	1478	1015	5495
Broer (M)	4	6	7	6	28
Brooklyn (M)	0	0	0	23	33
Bruce (M)	115	92	87	70	407
Bruno (M)	92	121	132	146	623
Bryan (M)	360	1130	1173	979	3963
Bryant (M)	4	16	9	29	65
Bryce (M)	3	7	11	29	58
Buck (M)	10	7	13	9	47
Buddy (M)	54	40	13	9	124
Burak (M)	198	409	302	173	1155
Burhan (M)	40	45	29	23	153
Buğra (M)	1	7	14	6	30
Byron (M)	40	42	30	21	144
Bülent (M)	14	10	1	4	41
Bünyamin (M)	52	55	39	42	204
Caesar (M)	6	10	12	16	53
Cafer (M)	22	12	15	2	62
Cain (M)	2	6	11	31	60
Caine (M)	5	3	16	35	69
Caleb (M)	2	8	24	26	73
Callum (M)	7	17	13	24	67
Calum (M)	4	10	9	7	32
Calvin (M)	57	140	524	438	1272
Cameron (M)	12	24	32	36	113
Camiel (M)	87	180	175	260	834
Camille (M)	26	39	31	24	137
Camilo (M)	8	16	18	13	65
Can (M)	45	67	109	122	386
Caner (M)	20	45	54	56	198
Carel (M)	48	44	42	34	216
Carl (M)	86	67	51	37	287
Carlito (M)	0	6	31	21	66
Carlo (M)	292	418	340	128	1283
Carlos (M)	148	185	148	138	744
Carolus (M)	44	41	27	22	158
Cars (M)	4	15	7	6	39
Carst (M)	0	10	5	11	30
Carsten (M)	40	46	61	55	254
Cas (M)	126	354	955	1223	3413
Casey (M)	5	15	24	25	78
Casimir (M)	21	29	13	6	81
Caspar (M)	177	184	158	130	744
Casparus (M)	6	10	8	1	29
Casper (M)	623	950	1336	1208	4853
Catharinus (M)	37	24	23	9	112
Catrinus (M)	14	11	11	3	46
Cebrail (M)	10	11	6	5	41
Cedric (M)	96	107	113	112	486
Cees (M)	68	60	57	55	289
Celal (M)	19	16	17	18	82
Celil (M)	8	1	10	7	30
Cem (M)	48	108	91	87	392
Cemal (M)	28	30	22	21	121
Cemil (M)	29	19	14	12	89
Cengiz (M)	44	37	34	19	167
Cengizhan (M)	11	17	20	16	70
Cenk (M)	11	17	22	18	73
Ceriel (M)	7	4	10	3	30
Cesar (M)	31	22	17	32	118
Ceyhun (M)	8	4	17	26	65
Ceylan (M)	10	11	17	16	64
Chad (M)	5	9	12	9	38
Chadi (M)	2	2	19	32	67
Chafik (M)	32	20	12	10	87
Chahid (M)	36	33	50	75	248
Chaim (M)	12	10	16	9	60
Chakib (M)	15	14	2	11	51
Chakir (M)	25	22	32	63	166
Charaf (M)	6	9	5	5	27
Charafeddine (M)	1	9	18	17	48
Charel (M)	12	7	6	1	33
Charif (M)	13	26	18	9	75
Charl (M)	16	13	7	2	45
Charles (M)	163	116	86	59	505
Charley (M)	10	22	8	11	62
Charlie (M)	46	74	67	44	274
Charly (M)	9	8	13	4	41
Chavez (M)	0	13	10	9	35
Chaïm (M)	5	8	7	3	27
Che (M)	5	3	9	27	58
Chee (M)	14	17	8	0	48
Chen (M)	9	14	15	14	60
Chendo (M)	2	4	15	21	44
Cheng (M)	6	19	10	12	51
Chesney (M)	1	31	5	5	45
Chesron (M)	12	15	13	8	53
Chester (M)	17	35	22	15	98
Chevy (M)	1	14	9	13	39
Chi (M)	74	71	28	23	241
Chico (M)	12	29	27	22	101
Chiel (M)	256	291	342	348	1377
Chiem (M)	8	24	57	34	142
Ching (M)	11	13	7	5	42
Chiron (M)	14	11	9	7	42
Choukri (M)	5	9	9	11	46
Chris (M)	556	687	639	839	3263
Christ (M)	7	6	8	10	36
Christan (M)	8	10	7	16	54
Christiaan (M)	1750	1746	1083	727	6291
Christian (M)	956	987	704	536	3879
Christiano (M)	3	3	3	25	57
Christianus (M)	134	71	43	21	326
Christinus (M)	10	9	2	4	31
Christof (M)	9	9	8	5	43
Christoffel (M)	45	33	30	16	151
Christoffer (M)	21	15	7	7	58
Christoph (M)	52	32	24	24	152
Christophe (M)	37	44	23	33	158
Christopher (M)	435	443	250	209	1550
Christos (M)	16	27	15	14	82
Chuck (M)	10	13	8	7	40
Chun (M)	51	39	42	22	193
Chung (M)	21	15	12	2	57
Ché (M)	2	3	12	26	53
Cian (M)	8	4	12	27	63
Ciaran (M)	6	7	7	16	44
Ciarán (M)	2	8	4	7	28
Cihad (M)	6	18	13	4	42
Cihan (M)	95	77	58	45	337
Cihangir (M)	9	9	14	7	42
Cihat (M)	14	23	18	6	67
Ciro (M)	2	10	5	10	38
Cis (M)	6	3	10	18	41
Ciske (M)	4	5	11	7	40
Clarence (M)	17	13	22	12	86
Clark (M)	14	13	6	3	40
Claudio (M)	24	55	33	12	142
Clay (M)	10	11	9	2	34
Clayton (M)	29	20	10	9	79
Clemens (M)	67	61	48	40	261
Clement (M)	14	13	7	12	61
Clenn (M)	11	13	3	4	34
Cliff (M)	60	64	39	19	203
Clifford (M)	28	13	8	5	70
Clifton (M)	26	9	5	3	58
Clim (M)	5	3	9	12	32
Clint (M)	94	76	58	37	300
Clinton (M)	12	21	6	9	56
Clyde (M)	16	14	11	5	63
Cody (M)	6	31	100	90	263
Coen (M)	427	648	689	519	2579
Coenraad (M)	91	103	76	39	364
Coenradus (M)	16	6	5	7	37
Coert (M)	5	5	13	4	35
Colin (M)	258	452	643	776	2483
Collin (M)	95	194	240	421	1177
Cong (M)	11	3	6	4	28
Conner (M)	1	26	46	33	129
Connor (M)	6	54	108	166	379
Conor (M)	3	20	22	16	74
Conrad (M)	24	13	18	8	77
Conradus (M)	9	10	6	1	27
Constant (M)	13	25	13	9	67
Constantijn (M)	101	116	138	115	535
Constantinus (M)	7	6	6	4	27
Cor (M)	48	35	19	15	135
Corbin (M)	8	15	7	3	33
Cornee (M)	2	3	14	11	34
Corneel (M)	6	8	8	9	35
Cornel (M)	3	8	11	10	36
Cornelis (M)	3494	2934	2333	1728	12564
Cornelius (M)	130	82	54	36	355
Cornelus (M)	35	22	37	15	127
Corné (M)	77	132	200	181	651
Corstiaan (M)	25	24	15	12	91
Corwin (M)	2	21	16	10	53
Coşkun (M)	13	18	3	1	39
Craig (M)	23	9	6	14	58
Crijn (M)	4	1	3	11	27
Cris (M)	13	8	14	16	66
Crispijn (M)	9	2	3	7	28
Cristiaan (M)	20	17	14	5	67
Cristian (M)	61	44	30	40	212
Cristiano (M)	10	5	1	2	31
Cuma (M)	13	13	6	9	44
Cuno (M)	6	8	4	11	32
Curtis (M)	7	10	9	6	37
Cyrano (M)	13	20	12	8	58
Cyriel (M)	44	58	34	20	172
Cyril (M)	27	24	34	29	141
Cyrille (M)	16	7	4	5	40
Cyrus (M)	1	5	6	11	29
Cédric (M)	18	24	71	89	235
Cüneyt (M)	20	16	10	13	76
D'Angelo (M)	3	5	9	24	46
Daaf (M)	6	4	15	26	64
Daan (M)	1507	2416	3879	5486	15599
Dagmar (M)	12	8	8	1	36
Daimen (M)	0	1	7	18	33
Daimy (M)	3	20	28	27	88
Dain (M)	0	2	2	6	31
Dajo (M)	2	15	17	16	63
Dale (M)	3	6	11	5	30
Daley (M)	10	38	41	6	100
Dalibor (M)	8	8	1	9	32
