Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Babette (V)	187	320	400	367	1451
Babiche (V)	11	14	7	7	46
Babs (V)	51	85	90	113	411
Badia (V)	24	7	4	2	50
Badria (V)	10	10	8	7	39
Bahar (V)	161	131	55	37	446
Balou (V)	2	14	10	6	33
Banu (V)	22	19	16	8	86
Barbara (V)	651	451	271	146	1880
Barbera (V)	50	32	19	11	136
Barendina (V)	29	25	9	13	95
Bartha (V)	12	7	5	4	30
Bartje (V)	5	5	6	10	31
Basma (V)	14	23	27	48	158
Bastiaantje (V)	34	17	16	14	104
Bastiana (V)	30	35	18	6	109
Bauke (V)	18	21	10	9	73
Baukje (V)	133	100	112	112	558
Başak (V)	8	12	14	17	55
Bea (V)	29	28	15	14	119
Beate (V)	10	16	11	8	53
Beatrice (V)	13	33	23	17	99
Beatrijs (V)	17	32	26	10	95
Beatrix (V)	20	24	21	13	98
Beatriz (V)	9	5	8	7	38
Beau (V)	40	218	528	492	1399
Beaudine (V)	5	43	69	62	196
Bedia (V)	5	9	2	14	34
Beertje (V)	12	11	6	12	50
Begüm (V)	5	19	15	19	68
Beitske (V)	15	12	7	3	50
Belgin (V)	13	13	6	4	45
Belia (V)	10	8	9	12	49
Belinda (V)	122	75	59	31	362
Bella (V)	7	14	17	34	99
Belle (V)	6	30	44	86	215
Belma (V)	9	13	5	11	44
Benedicte (V)	2	8	4	16	34
Benice (V)	3	12	16	7	44
Benita (V)	12	10	11	4	39
Bente (V)	116	290	806	1439	3219
Benthe (V)	42	70	211	436	1018
Berbel (V)	9	9	9	12	45
Berber (V)	102	127	150	157	614
Berdien (V)	92	49	24	6	200
Berdina (V)	35	23	8	9	96
Berdine (V)	25	12	8	8	58
Berendina (V)	181	137	101	49	574
Berendje (V)	19	18	13	7	70
Berfin (V)	2	13	29	91	175
Berit (V)	28	18	32	25	118
Berivan (V)	10	37	16	55	125
Berna (V)	33	78	80	48	255
Bernadet (V)	43	19	14	9	104
Bernadette (V)	197	138	59	28	525
Bernadina (V)	9	7	6	2	32
Bernadine (V)	13	4	6	3	34
Bernarda (V)	24	9	8	4	56
Bernardina (V)	21	25	18	8	89
Bernice (V)	81	115	80	51	370
Bernou (V)	9	12	11	10	48
Berra (V)	0	1	4	10	36
Bertha (V)	75	57	44	29	258
Berthe (V)	14	10	17	14	60
Bertina (V)	26	30	17	9	107
Bertine (V)	64	69	24	13	205
Beryl (V)	3	10	13	9	41
Bethany (V)	9	8	12	5	36
Betsy (V)	8	2	7	9	29
Bette (V)	12	9	15	17	61
Bettie (V)	16	9	10	4	44
Bettina (V)	41	25	10	9	98
Bettine (V)	33	11	9	6	71
Betty (V)	31	28	15	13	113
Betul (V)	17	23	18	17	81
Betül (V)	127	191	190	99	656
Beverly (V)	9	21	12	10	52
Beyoncé (V)	0	0	1	28	32
Beyza (V)	4	34	201	304	626
Beyzanur (V)	0	2	23	43	74
Bianca (V)	1915	1000	428	163	4655
Bibi (V)	121	156	225	345	1008
Bibian (V)	19	17	25	34	118
Bibiana (V)	10	5	11	5	38
Bibiane (V)	14	12	14	2	52
Bibianne (V)	16	15	13	11	60
Bibiche (V)	26	15	17	12	76
Bieke (V)	3	10	31	36	106
Bijou (V)	12	9	4	6	40
Bilge (V)	8	23	13	10	61
Billie (V)	1	8	12	14	49
Billy (V)	4	4	9	8	31
Bionda (V)	25	28	18	12	95
Bircan (V)	9	8	6	3	34
Birgit (V)	222	230	169	176	912
Birgitta (V)	30	27	27	8	96
Birgitte (V)	21	15	12	7	63
Birgül (V)	21	14	5	3	50
Birsen (V)	16	8	6	6	50
Birte (V)	10	14	18	32	84
Birthe (V)	14	23	13	19	79
Blanca (V)	8	6	22	37	86
Blanche (V)	26	8	5	8	55
Blessing (V)	1	1	6	20	40
Bloem (V)	1	3	12	51	121
Bloeme (V)	5	3	14	18	63
Bo (V)	212	624	1099	1292	3690
Bobbi (V)	2	14	33	40	111
Bobbie (V)	9	18	80	64	191
Bobby (V)	8	24	53	27	125
Bodien (V)	6	3	16	10	38
Bodil (V)	27	35	59	48	190
Bodine (V)	19	93	124	76	331
Bojana (V)	10	7	6	9	37
Bojoura (V)	19	10	12	6	54
Bonita (V)	37	82	92	55	287
Bonne (V)	3	4	5	11	27
Bonnie (V)	113	122	99	61	438
Bonny (V)	64	39	42	11	185
Bouchra (V)	170	195	131	95	674
Bouke (V)	14	11	6	8	48
Boukje (V)	96	75	51	32	320
Boutaina (V)	6	16	34	27	102
Bouwina (V)	13	9	11	1	35
Bowien (V)	0	0	74	49	134
Brandy (V)	3	3	46	29	92
Brechje (V)	39	30	70	81	263
Brecht (V)	12	26	35	92	226
Brechtje (V)	60	49	86	106	371
Bregje (V)	127	128	208	224	844
Bregtje (V)	23	10	17	15	78
Brenda (V)	944	658	407	171	2626
Brenna (V)	3	0	5	14	29
Brett (V)	2	9	13	4	28
Brianna (V)	4	6	10	19	43
Brianne (V)	3	3	14	12	40
Bridget (V)	6	14	73	216	390
Brigit (V)	45	52	44	21	189
Brigitta (V)	68	51	52	31	231
Brigitte (V)	340	283	174	100	1097
Brit (V)	13	14	16	42	107
Britney (V)	10	10	144	367	558
Britt (V)	449	1099	2175	3399	8213
Britta (V)	63	87	72	63	317
Brittany (V)	16	41	89	52	209
Britte (V)	26	58	88	119	326
Brittney (V)	3	8	43	42	102
Brooklyn (V)	0	0	2	14	28
Bruna (V)	5	9	4	5	31
Btissam (V)	8	10	11	11	49
Btissame (V)	7	40	39	26	116
Buket (V)	36	61	33	9	149
Burcu (V)	80	163	96	37	395
Burçin (V)	30	56	24	12	128
Buse (V)	2	16	46	120	215
Bushra (V)	12	8	11	7	41
Busra (V)	5	44	33	9	93
Buşra (V)	11	76	64	24	186
Büsra (V)	3	31	30	10	78
Büşra (V)	27	197	252	107	608
Cacharel (V)	4	8	9	5	27
Caecilia (V)	15	11	20	8	65
Caia (V)	2	3	10	10	28
Cailey (V)	0	3	7	13	27
Caithlin (V)	1	12	11	36	81
Caithlyn (V)	0	3	11	27	71
Caitlin (V)	53	187	317	478	1195
Caitlyn (V)	3	15	29	88	181
Caitlynn (V)	0	4	8	18	45
Caja (V)	4	5	16	7	42
Calista (V)	3	2	5	22	39
Callista (V)	11	3	5	10	32
Cameron (V)	1	1	1	25	33
Camila (V)	11	26	16	25	93
Camilla (V)	43	75	92	53	288
Camille (V)	27	83	101	80	315
Canan (V)	112	77	26	19	275
Candice (V)	14	24	21	16	86
Candy (V)	30	50	20	3	117
Cansel (V)	1	12	31	10	57
Cansu (V)	88	162	127	61	460
Cara (V)	16	9	9	11	58
Caren (V)	18	10	6	7	45
Caressa (V)	59	53	30	11	161
Carianne (V)	9	14	8	5	40
Carice (V)	0	0	0	10	37
Carien (V)	49	36	21	15	142
Carin (V)	47	25	16	10	126
Carina (V)	211	130	73	46	551
Carine (V)	57	56	37	27	211
Carissa (V)	10	2	8	8	34
Carla (V)	222	142	63	46	630
Carleen (V)	13	21	12	1	52
Carli (V)	19	25	27	13	93
Carlien (V)	48	43	31	9	156
Carlijn (V)	433	576	669	613	2682
Carlijne (V)	17	25	28	20	108
Carlin (V)	1	13	8	2	27
Carlina (V)	14	5	1	6	34
Carline (V)	41	45	29	7	136
Carlotta (V)	4	7	10	9	33
Carly (V)	64	76	64	43	266
Carlyn (V)	20	16	8	5	56
Carmel (V)	11	27	27	10	82
Carmela (V)	7	2	5	3	27
Carmen (V)	539	1049	1003	961	4008
Caro (V)	29	89	52	41	243
Carol (V)	33	30	20	6	103
Carola (V)	629	267	96	38	1220
Carole (V)	9	9	4	2	29
Carolien (V)	436	285	195	101	1263
Caroliene (V)	15	9	9	8	45
Carolijn (V)	23	25	26	23	108
Carolina (V)	276	204	127	84	876
Caroline (V)	765	627	360	187	2315
Carolyn (V)	22	12	9	2	53
Carry (V)	16	10	5	0	33
Casandra (V)	20	10	11	8	58
Casey (V)	3	10	26	22	72
Cassandra (V)	136	128	122	85	531
Cassidy (V)	1	4	42	41	96
Catalina (V)	14	12	7	11	54
Catarina (V)	9	7	6	13	43
Catelijne (V)	10	8	6	7	40
Caterina (V)	6	7	3	8	28
Cathalijne (V)	9	11	14	7	52
Cathalina (V)	14	13	18	10	63
Catharina (V)	1583	1188	780	539	4908
Catharine (V)	25	16	11	14	79
Cathelijn (V)	12	20	16	16	89
Cathelijne (V)	66	71	66	91	383
Catherina (V)	54	44	41	22	190
Catherine (V)	96	68	52	63	316
Cathleen (V)	9	12	7	6	40
Cathy (V)	43	60	73	42	239
Cathérine (V)	15	12	3	2	36
Cato (V)	14	29	126	256	571
Caya (V)	0	25	65	66	172
Ceciel (V)	17	20	20	12	76
Cecil (V)	3	6	9	12	33
Cecile (V)	69	92	96	75	373
Cecilia (V)	104	107	94	67	448
Celena (V)	3	5	15	14	44
Celesta (V)	24	39	37	20	133
Celeste (V)	45	142	241	208	712
Celia (V)	42	32	41	45	188
Celina (V)	75	129	211	226	726
Celine (V)	179	387	1279	531	2528
Cemile (V)	32	22	24	17	119
Cemre (V)	0	12	13	14	42
Cennet (V)	29	32	28	22	128
Ceren (V)	21	42	100	106	331
Cerise (V)	6	16	12	12	57
Ceyda (V)	11	23	78	148	307
Ceylan (V)	70	41	34	25	196
